,PVMATH,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE
319,2,2,1,2,2,2,2,2,2,1,2
320,2,3,3,2,2,2,2,2,2,2,2
321,1,1,1,1,1,1,1,1,1,1,1
322,1,1,1,1,1,1,1,1,1,1,1
323,4,4,4,4,4,4,4,4,3,4,4
324,1,2,3,1,1,1,2,1,1,2,1
325,4,4,4,4,4,4,4,4,4,4,4
326,1,1,1,1,1,1,2,1,1,1,1
327,4,4,4,4,4,4,4,4,4,4,4
328,2,2,2,2,2,2,2,2,2,2,2
329,3,2,3,4,4,3,4,3,4,3,3
330,4,4,4,4,4,4,4,4,4,4,4
331,4,4,4,4,4,4,4,4,4,4,4
332,1,1,1,1,1,1,1,1,1,1,1
333,1,1,1,1,1,1,1,1,1,1,1
334,4,4,4,4,4,4,4,4,4,4,4
335,4,4,4,4,4,4,4,4,4,4,4
336,3,3,3,3,3,3,3,3,3,3,3
337,2,1,1,2,1,2,1,1,2,1,2
338,2,2,2,2,2,2,2,2,2,2,2
339,2,2,2,2,2,2,2,2,2,2,2
340,3,3,3,3,3,3,3,3,3,3,3
341,1,2,1,1,1,1,1,1,1,1,1
342,3,3,3,3,3,3,3,3,3,3,4
343,3,3,3,3,3,3,3,3,3,3,3
344,2,2,3,2,2,2,3,2,2,2,2
345,4,2,3,4,3,4,4,4,4,3,4
346,2,2,2,2,2,3,3,2,2,2,2
347,4,4,4,4,4,4,4,4,4,4,4
348,1,2,2,1,1,1,1,1,1,1,1
349,4,3,3,4,4,4,4,4,4,4,3
350,3,2,3,3,3,3,3,3,3,3,3
351,4,4,4,4,4,4,4,4,4,4,4
352,4,4,4,3,4,3,3,4,4,4,3
353,4,4,3,4,4,3,4,4,4,3,3
354,4,3,4,4,4,4,4,4,4,4,4
355,1,1,1,1,1,1,2,1,1,2,1
356,1,1,1,1,1,1,1,1,1,1,1
357,1,1,1,1,1,1,1,1,1,1,1
358,4,4,4,4,4,4,4,4,4,4,4
359,1,1,1,2,2,1,1,2,2,1,1
360,4,4,4,4,4,4,4,4,4,4,4
361,2,3,2,2,3,2,2,2,3,2,2
362,1,1,1,1,1,1,1,1,1,1,1
363,1,1,1,1,1,1,1,1,1,1,1
364,1,1,1,1,1,1,2,1,1,1,1
365,2,4,2,2,3,2,2,2,2,2,2
366,1,1,1,1,1,1,2,1,1,2,1
367,3,2,3,3,3,3,3,3,3,3,3
368,1,1,1,1,1,1,1,1,1,1,1
369,3,3,3,3,3,3,3,3,3,3,3
370,3,4,3,4,3,4,3,4,4,3,4
371,2,3,2,2,2,2,1,2,2,2,2
372,1,1,1,1,1,1,1,1,1,1,1
373,1,1,1,1,1,1,1,1,1,1,1
374,4,4,4,4,4,4,4,4,4,4,4
375,1,2,1,1,1,1,1,1,1,1,1
376,3,4,3,3,3,3,3,3,3,3,4
377,3,4,3,4,3,3,4,3,4,4,3
378,2,3,2,2,2,3,2,2,2,3,3
379,4,3,4,4,4,4,4,4,4,4,4
380,1,2,1,1,2,2,1,1,1,1,1
381,3,4,3,4,3,3,4,4,3,4,3
382,4,3,4,4,4,4,4,4,4,4,4
383,4,4,4,4,3,3,3,3,3,4,3
384,3,4,3,3,3,3,3,3,3,3,4
385,1,2,2,1,1,1,1,1,1,1,1
386,2,2,2,2,1,2,2,1,2,1,2
387,2,2,2,2,2,2,2,2,2,2,2
388,4,3,4,4,3,4,3,4,3,3,4
389,4,4,4,3,3,4,3,4,4,4,4
390,1,1,1,1,1,1,1,1,1,1,1
391,3,2,2,3,3,3,3,3,3,3,4
392,1,2,1,2,1,1,1,1,1,2,1
393,1,1,1,1,1,1,1,1,1,1,1
394,1,2,2,1,1,1,1,1,1,1,1
395,1,1,1,1,1,1,1,1,1,1,1
396,3,2,2,2,2,3,3,2,3,2,3
397,3,3,3,3,3,3,3,3,3,3,3
398,1,1,1,1,1,1,1,1,1,1,1
399,3,4,3,3,3,3,3,3,3,3,3
400,2,2,3,2,2,2,3,2,2,3,2
401,1,1,1,1,1,1,1,1,1,1,1
402,3,4,3,4,4,3,4,3,4,4,3
403,1,1,1,1,1,1,1,1,1,1,1
404,3,3,3,3,2,3,3,3,3,3,3
405,2,3,2,3,2,2,2,2,2,2,2
406,4,4,4,4,4,4,4,4,4,4,4
407,1,1,1,1,1,1,1,1,1,1,1
408,4,2,4,4,4,4,4,4,4,4,4
409,3,4,3,2,3,3,3,3,3,3,2
410,2,4,3,2,2,2,2,2,2,2,2
411,2,3,3,2,2,2,3,2,2,2,2
412,4,3,3,4,4,4,3,4,3,4,4
413,3,4,2,3,3,3,2,3,3,3,3
414,4,4,4,4,4,4,4,4,4,4,4
415,3,3,3,3,3,3,3,4,3,4,4
416,3,2,2,3,3,3,3,3,3,3,3
417,3,4,3,3,3,3,3,3,3,4,3
418,1,1,1,1,1,1,1,1,1,1,1
419,1,1,1,1,1,1,2,2,2,1,1
420,4,4,4,4,4,4,4,4,4,4,4
421,3,4,4,3,3,3,3,3,4,3,3
422,1,2,2,1,2,1,1,1,2,1,2
423,3,3,3,3,3,3,3,3,3,3,3
424,1,2,1,1,1,1,1,1,1,2,1
425,2,2,2,2,2,2,3,2,2,2,2
426,1,3,2,1,2,1,1,1,1,2,1
427,3,4,3,3,3,3,3,3,3,3,3
428,2,2,1,2,2,1,1,2,2,2,2
429,1,1,1,1,1,1,1,1,1,1,1
430,3,3,3,3,3,3,3,3,3,3,3
431,2,3,3,2,2,2,2,2,2,2,2
432,2,3,2,2,2,3,2,3,2,2,2
433,4,3,3,4,4,4,4,4,4,4,4
434,1,1,1,1,2,1,2,1,1,1,1
435,2,1,2,1,1,2,2,2,2,2,2
436,1,1,1,1,1,1,1,1,1,1,1
437,3,4,4,4,3,4,3,3,3,3,3
438,2,2,2,3,2,2,1,2,2,2,2
439,4,4,3,4,4,3,4,4,4,4,3
440,4,4,4,4,4,4,3,3,4,4,3
441,2,2,2,2,2,2,2,2,2,2,2
442,4,4,4,4,4,4,4,4,4,4,4
443,3,3,4,3,3,3,3,3,3,3,3
444,3,3,3,2,3,4,2,3,3,3,3
445,1,2,1,1,2,2,2,1,1,1,1
446,1,1,1,1,1,1,1,1,1,1,1
447,4,3,4,4,3,4,4,4,4,3,4
448,1,1,2,1,1,2,1,1,1,1,2
449,2,2,2,2,2,2,2,2,2,2,2
450,3,3,3,3,4,4,4,4,3,4,4
451,3,3,3,4,3,3,2,3,3,3,3
452,1,1,3,2,1,1,1,2,1,1,2
453,2,1,3,2,2,2,2,2,1,2,2
454,2,2,3,2,2,2,2,2,2,2,2
455,4,4,4,4,4,4,4,4,4,4,4
456,4,3,4,4,4,3,4,4,3,3,4
457,2,2,1,2,1,2,1,1,2,2,2
458,2,2,2,2,2,2,2,2,2,1,2
459,4,4,3,4,4,4,4,4,4,4,4
460,3,3,3,3,3,3,3,3,2,3,2
461,4,4,4,4,4,4,4,4,4,4,4
462,4,4,4,4,4,4,4,4,4,4,4
463,2,3,2,2,2,3,2,3,2,2,2
464,3,2,3,3,3,3,3,3,3,3,3
465,1,1,1,1,1,1,1,1,1,1,1
466,1,1,1,1,2,1,2,1,2,1,2
467,1,1,1,1,1,1,1,1,1,1,1
468,2,2,2,2,2,2,2,2,2,2,2
469,1,2,2,1,1,1,1,1,1,1,1
470,2,3,2,2,2,1,2,2,2,2,1
471,4,4,4,4,4,4,4,4,4,4,4
472,4,4,4,4,4,4,4,4,4,4,4
473,3,3,3,3,3,3,4,3,4,3,3
474,4,3,4,3,3,3,3,4,3,3,3
475,2,1,2,1,2,1,1,1,1,2,1
476,3,3,4,3,3,3,3,3,3,3,4
477,1,1,1,1,1,1,1,1,1,1,1
